provider,stream,currency pair,time,bid price,bid volume,ask price,ask volume,guid,tier,status,quote type
LP-2,STRM-2,USDJPY,02.01.2019 00:00:00.006,108.844999999999998863131622783839702606201171875,1600000,108.852000000000003865352482534945011138916015625,1000000,G-3c369d2f-168a65ae006-LP-2U-f90e8,1,Active,MQ
LP-2,STRM-2,USDJPY,02.01.2019 00:00:00.094,108.84600000000000363797880709171295166015625,1600000,108.8529999999999944293449516408145427703857421875,1000000,G-3c369d2f-168a65ae05e-LP-2U-f90e9,1,Active,MQ
LP-2,STRM-2,USDJPY,02.01.2019 00:00:00.230,108.84600000000000363797880709171295166015625,1600000,108.8529999999999944293449516408145427703857421875,2000000,G-3c369d2f-168a65ae0e6-LP-2U-f90ea,1,Active,MQ
LP-2,STRM-2,USDJPY,02.01.2019 00:00:00.260,108.84600000000000363797880709171295166015625,1600000,108.8529999999999944293449516408145427703857421875,1000000,G-3c369d2f-168a65ae104-LP-2U-f90eb,1,Active,MQ
LP-2,STRM-2,USDJPY,02.01.2019 00:00:00.306,108.844999999999998863131622783839702606201171875,1600000,108.8529999999999944293449516408145427703857421875,2000000,G-3c369d2f-168a65ae132-LP-2U-f90ec,1,Active,MQ
LP-2,STRM-2,USDJPY,02.01.2019 00:00:00.308,108.84600000000000363797880709171295166015625,1600000,108.8529999999999944293449516408145427703857421875,1000000,G-3c369d2f-168a65ae134-LP-2U-f90ed,1,Active,MQ
LP-2,STRM-2,USDJPY,02.01.2019 00:00:00.602,108.84600000000000363797880709171295166015625,1600000,108.8539999999999992041921359486877918243408203125,2000000,G-3c369d2f-168a65ae25a-LP-2U-f90ee,1,Active,MQ
LP-2,STRM-2,USDJPY,02.01.2019 00:00:00.607,108.8469999999999942019712761975824832916259765625,1600000,108.8539999999999992041921359486877918243408203125,1000000,G-3c369d2f-168a65ae25f-LP-2U-f90ef,1,Active,MQ
LP-2,STRM-2,USDJPY,02.01.2019 00:00:00.650,108.84600000000000363797880709171295166015625,1600000,108.8539999999999992041921359486877918243408203125,1000000,G-3c369d2f-168a65ae28a-LP-2U-f90f0,1,Active,MQ
LP-2,STRM-2,USDJPY,02.01.2019 00:00:00.655,108.84600000000000363797880709171295166015625,1600000,108.8539999999999992041921359486877918243408203125,2000000,G-3c369d2f-168a65ae28f-LP-2U-f90f1,1,Active,MQ
LP-2,STRM-2,USDJPY,02.01.2019 00:00:00.711,108.8469999999999942019712761975824832916259765625,1600000,108.8539999999999992041921359486877918243408203125,1000000,G-3c369d2f-168a65ae2c7-LP-2U-f90f2,1,Active,MQ
LP-2,STRM-2,USDJPY,02.01.2019 00:00:00.720,108.84600000000000363797880709171295166015625,1600000,108.8539999999999992041921359486877918243408203125,1000000,G-3c369d2f-168a65ae2d0-LP-2U-f90f3,1,Active,MQ
LP-2,STRM-2,USDJPY,02.01.2019 00:00:00.770,108.84600000000000363797880709171295166015625,1600000,108.8539999999999992041921359486877918243408203125,2000000,G-3c369d2f-168a65ae302-LP-2U-f90f4,1,Active,MQ
LP-2,STRM-2,USDJPY,02.01.2019 00:00:00.811,108.84600000000000363797880709171295166015625,1600000,108.8539999999999992041921359486877918243408203125,1000000,G-3c369d2f-168a65ae32b-LP-2U-f90f5,1,Active,MQ
LP-2,STRM-2,USDJPY,02.01.2019 00:00:01.035,108.84600000000000363797880709171295166015625,1600000,108.8539999999999992041921359486877918243408203125,2000000,G-3c369d2f-168a65ae40b-LP-2U-f90f6,1,Active,MQ
LP-2,STRM-2,USDJPY,02.01.2019 00:00:01.863,108.8469999999999942019712761975824832916259765625,1600000,108.8539999999999992041921359486877918243408203125,1000000,G-3c369d2f-168a65ae747-LP-2U-f90f7,1,Active,MQ
LP-2,STRM-2,USDJPY,02.01.2019 00:00:01.920,108.8469999999999942019712761975824832916259765625,1600000,108.8550000000000039790393202565610408782958984375,2000000,G-3c369d2f-168a65ae780-LP-2U-f90f8,1,Active,MQ
LP-2,STRM-2,USDJPY,02.01.2019 00:00:02.410,108.8469999999999942019712761975824832916259765625,1600000,108.8539999999999992041921359486877918243408203125,1000000,G-3c369d2f-168a65ae96a-LP-2U-f90f9,1,Active,MQ
LP-2,STRM-2,USDJPY,02.01.2019 00:00:03.105,108.84600000000000363797880709171295166015625,1600000,108.8539999999999992041921359486877918243408203125,1000000,G-3c369d2f-168a65aec21-LP-2U-f90fa,1,Active,MQ
LP-2,STRM-2,USDJPY,02.01.2019 00:00:03.370,108.84600000000000363797880709171295166015625,1600000,108.8539999999999992041921359486877918243408203125,2000000,G-3c369d2f-168a65aed2a-LP-2U-f90fb,1,Active,MQ
LP-2,STRM-2,USDJPY,02.01.2019 00:00:03.631,108.84600000000000363797880709171295166015625,1600000,108.8529999999999944293449516408145427703857421875,1000000,G-3c369d2f-168a65aee2f-LP-2U-f90fc,1,Active,MQ
LP-2,STRM-2,USDJPY,02.01.2019 00:00:06.033,108.844999999999998863131622783839702606201171875,1600000,108.8529999999999944293449516408145427703857421875,2000000,G-3c369d2f-168a65af791-LP-2U-f90fd,1,Active,MQ
LP-2,STRM-2,USDJPY,02.01.2019 00:00:06.090,108.84600000000000363797880709171295166015625,1600000,108.8529999999999944293449516408145427703857421875,1000000,G-3c369d2f-168a65af7ca-LP-2U-f90fe,1,Active,MQ
LP-2,STRM-2,USDJPY,02.01.2019 00:00:06.100,108.844999999999998863131622783839702606201171875,1600000,108.8529999999999944293449516408145427703857421875,2000000,G-3c369d2f-168a65af7d4-LP-2U-f90ff,1,Active,MQ
LP-2,STRM-2,USDJPY,02.01.2019 00:00:06.110,108.84600000000000363797880709171295166015625,1600000,108.8529999999999944293449516408145427703857421875,1000000,G-3c369d2f-168a65af7de-LP-2U-f9100,1,Active,MQ
LP-2,STRM-2,USDJPY,02.01.2019 00:00:06.206,108.844999999999998863131622783839702606201171875,1600000,108.8529999999999944293449516408145427703857421875,2000000,G-3c369d2f-168a65af83e-LP-2U-f9101,1,Active,MQ
LP-2,STRM-2,USDJPY,02.01.2019 00:00:06.615,108.84600000000000363797880709171295166015625,1600000,108.8529999999999944293449516408145427703857421875,1000000,G-3c369d2f-168a65af9d7-LP-2U-f9102,1,Active,MQ
LP-2,STRM-2,USDJPY,02.01.2019 00:00:09.240,108.844999999999998863131622783839702606201171875,1600000,108.8529999999999944293449516408145427703857421875,2000000,G-3c369d2f-168a65b0418-LP-2U-f9103,1,Active,MQ
LP-2,STRM-2,USDJPY,02.01.2019 00:00:09.355,108.84600000000000363797880709171295166015625,1600000,108.8529999999999944293449516408145427703857421875,1000000,G-3c369d2f-168a65b048b-LP-2U-f9104,1,Active,MQ
LP-2,STRM-2,USDJPY,02.01.2019 00:00:09.400,108.84600000000000363797880709171295166015625,1600000,108.8539999999999992041921359486877918243408203125,2000000,G-3c369d2f-168a65b04b8-LP-2U-f9105,1,Active,MQ
LP-2,STRM-2,USDJPY,02.01.2019 00:00:09.466,108.84600000000000363797880709171295166015625,1600000,108.8529999999999944293449516408145427703857421875,1000000,G-3c369d2f-168a65b04fa-LP-2U-f9106,1,Active,MQ
LP-2,STRM-2,USDJPY,02.01.2019 00:00:10.025,108.84600000000000363797880709171295166015625,1600000,108.8539999999999992041921359486877918243408203125,2000000,G-3c369d2f-168a65b0729-LP-2U-f9107,1,Active,MQ
LP-2,STRM-2,USDJPY,02.01.2019 00:00:10.110,108.84600000000000363797880709171295166015625,1600000,108.8529999999999944293449516408145427703857421875,1000000,G-3c369d2f-168a65b077e-LP-2U-f9108,1,Active,MQ
LP-2,STRM-2,USDJPY,02.01.2019 00:00:11.708,108.84600000000000363797880709171295166015625,1600000,108.8539999999999992041921359486877918243408203125,2000000,G-3c369d2f-168a65b0dbc-LP-2U-f9109,1,Active,MQ
LP-2,STRM-2,USDJPY,02.01.2019 00:00:11.741,108.84600000000000363797880709171295166015625,1600000,108.8529999999999944293449516408145427703857421875,1000000,G-3c369d2f-168a65b0ddd-LP-2U-f910a,1,Active,MQ
LP-2,STRM-2,USDJPY,02.01.2019 00:00:14.425,108.84600000000000363797880709171295166015625,1600000,108.8539999999999992041921359486877918243408203125,1000000,G-3c369d2f-168a65b1859-LP-2U-f910b,1,Active,MQ
LP-2,STRM-2,USDJPY,02.01.2019 00:00:16.034,108.8469999999999942019712761975824832916259765625,1600000,108.8550000000000039790393202565610408782958984375,2000000,G-3c369d2f-168a65b1ea2-LP-2U-f910c,1,Active,MQ
LP-2,STRM-2,USDJPY,02.01.2019 00:00:16.040,108.8469999999999942019712761975824832916259765625,1600000,108.8539999999999992041921359486877918243408203125,1000000,G-3c369d2f-168a65b1ea8-LP-2U-f910d,1,Active,MQ
LP-2,STRM-2,USDJPY,02.01.2019 00:00:16.165,108.84600000000000363797880709171295166015625,1600000,108.8539999999999992041921359486877918243408203125,1000000,G-3c369d2f-168a65b1f25-LP-2U-f910e,1,Active,MQ
LP-2,STRM-2,USDJPY,02.01.2019 00:00:16.186,108.8469999999999942019712761975824832916259765625,1600000,108.8550000000000039790393202565610408782958984375,2000000,G-3c369d2f-168a65b1f3a-LP-2U-f910f,1,Active,MQ
LP-2,STRM-2,USDJPY,02.01.2019 00:00:16.190,108.8469999999999942019712761975824832916259765625,1600000,108.8539999999999992041921359486877918243408203125,1000000,G-3c369d2f-168a65b1f3e-LP-2U-f9110,1,Active,MQ
LP-2,STRM-2,USDJPY,02.01.2019 00:00:19.486,108.84600000000000363797880709171295166015625,1600000,108.8539999999999992041921359486877918243408203125,2000000,G-3c369d2f-168a65b2c1e-LP-2U-f9111,1,Active,MQ
LP-2,STRM-2,USDJPY,02.01.2019 00:00:20.096,108.84600000000000363797880709171295166015625,1600000,108.8529999999999944293449516408145427703857421875,1000000,G-3c369d2f-168a65b2e80-LP-2U-f9112,1,Active,MQ
LP-2,STRM-2,USDJPY,02.01.2019 00:00:20.316,108.844999999999998863131622783839702606201171875,1600000,108.852000000000003865352482534945011138916015625,1000000,G-3c369d2f-168a65b2f5c-LP-2U-f9113,1,Active,MQ
LP-2,STRM-2,USDJPY,02.01.2019 00:00:20.455,108.84600000000000363797880709171295166015625,1600000,108.8529999999999944293449516408145427703857421875,1000000,G-3c369d2f-168a65b2fe7-LP-2U-f9114,1,Active,MQ
LP-2,STRM-2,USDJPY,02.01.2019 00:00:23.713,108.84600000000000363797880709171295166015625,1700000,108.8529999999999944293449516408145427703857421875,1000000,G-3c369d2f-168a65b3ca1-LP-2U-f9115,1,Active,MQ
LP-2,STRM-2,USDJPY,02.01.2019 00:00:24.447,108.84600000000000363797880709171295166015625,1800000,108.8529999999999944293449516408145427703857421875,1000000,G-3c369d2f-168a65b3f7f-LP-2U-f9116,1,Active,MQ
LP-2,STRM-2,USDJPY,02.01.2019 00:00:24.825,108.84600000000000363797880709171295166015625,1800000,108.8529999999999944293449516408145427703857421875,2000000,G-3c369d2f-168a65b40f9-LP-2U-f9117,1,Active,MQ
LP-2,STRM-2,USDJPY,02.01.2019 00:00:24.835,108.84600000000000363797880709171295166015625,1800000,108.8529999999999944293449516408145427703857421875,1000000,G-3c369d2f-168a65b4103-LP-2U-f9118,1,Active,MQ
LP-2,STRM-2,USDJPY,02.01.2019 00:00:26.139,108.844999999999998863131622783839702606201171875,1800000,108.8529999999999944293449516408145427703857421875,2000000,G-3c369d2f-168a65b461b-LP-2U-f9119,1,Active,MQ
LP-2,STRM-2,USDJPY,02.01.2019 00:00:26.208,108.84600000000000363797880709171295166015625,1800000,108.8529999999999944293449516408145427703857421875,1000000,G-3c369d2f-168a65b4660-LP-2U-f911a,1,Active,MQ
LP-2,STRM-2,USDJPY,02.01.2019 00:00:26.755,108.844999999999998863131622783839702606201171875,1800000,108.8529999999999944293449516408145427703857421875,2000000,G-3c369d2f-168a65b4883-LP-2U-f911b,1,Active,MQ
LP-2,STRM-2,USDJPY,02.01.2019 00:00:28.140,108.84600000000000363797880709171295166015625,1800000,108.8529999999999944293449516408145427703857421875,1000000,G-3c369d2f-168a65b4dec-LP-2U-f911c,1,Active,MQ
LP-2,STRM-2,USDJPY,02.01.2019 00:00:31.374,108.84600000000000363797880709171295166015625,1800000,108.8529999999999944293449516408145427703857421875,2000000,G-3c369d2f-168a65b5a8e-LP-2U-f911d,1,Active,MQ
LP-2,STRM-2,USDJPY,02.01.2019 00:00:31.380,108.844999999999998863131622783839702606201171875,1800000,108.8529999999999944293449516408145427703857421875,2000000,G-3c369d2f-168a65b5a94-LP-2U-f911e,1,Active,MQ
LP-2,STRM-2,USDJPY,02.01.2019 00:00:32.372,108.844999999999998863131622783839702606201171875,1800000,108.852000000000003865352482534945011138916015625,2000000,G-3c369d2f-168a65b5e74-LP-2U-f911f,1,Active,MQ
LP-2,STRM-2,USDJPY,02.01.2019 00:00:32.392,108.844999999999998863131622783839702606201171875,1800000,108.8529999999999944293449516408145427703857421875,2000000,G-3c369d2f-168a65b5e88-LP-2U-f9120,1,Active,MQ
LP-2,STRM-2,USDJPY,02.01.2019 00:00:32.521,108.844999999999998863131622783839702606201171875,1800000,108.8529999999999944293449516408145427703857421875,1000000,G-3c369d2f-168a65b5f09-LP-2U-f9121,1,Active,MQ
