provider,stream,currency pair,time,bid price,bid volume,ask price,ask volume,guid,tier,status,quote type
LP-5,STRM-5,EURUSD,02.01.2019 00:00:00.266,1.144800000000000039790393202565610408782958984375,1000000,1.1448799999999998977529003241215832531452178955078125,1000000,G-3c369d65-168a65ae10a-LP-5Z-c8c6f,1,Active,MQ
LP-5,STRM-5,EURUSD,02.01.2019 00:00:00.276,1.144800000000000039790393202565610408782958984375,1000000,1.14487000000000005428546501207165420055389404296875,1000000,G-3c369d65-168a65ae114-LP-5Z-c8c70,1,Active,MQ
LP-5,STRM-5,EURUSD,02.01.2019 00:00:00.319,1.144789999999999974278352965484373271465301513671875,1000000,1.14487000000000005428546501207165420055389404296875,1000000,G-3c369d65-168a65ae13f-LP-5Z-c8c71,1,Active,MQ
LP-5,STRM-5,EURUSD,02.01.2019 00:00:00.330,1.14477999999999990876631272840313613414764404296875,1000000,1.144859999999999988773424774990417063236236572265625,1000000,G-3c369d65-168a65ae14a-LP-5Z-c8c72,1,Active,MQ
LP-5,STRM-5,EURUSD,02.01.2019 00:00:00.459,1.144789999999999974278352965484373271465301513671875,1000000,1.1448799999999998977529003241215832531452178955078125,1000000,G-3c369d65-168a65ae1cb-LP-5Z-c8c73,1,Active,MQ
LP-5,STRM-5,EURUSD,02.01.2019 00:00:00.474,1.14477999999999990876631272840313613414764404296875,1000000,1.14487000000000005428546501207165420055389404296875,1000000,G-3c369d65-168a65ae1da-LP-5Z-c8c74,1,Active,MQ
LP-5,STRM-5,EURUSD,02.01.2019 00:00:00.529,1.1447700000000000652988774163532070815563201904296875,1000000,1.14487000000000005428546501207165420055389404296875,1000000,G-3c369d65-168a65ae211-LP-5Z-c8c75,1,Active,MQ
LP-5,STRM-5,EURUSD,02.01.2019 00:00:00.551,1.1447499999999999342747969421907328069210052490234375,1000000,1.144810000000000105302433439646847546100616455078125,1000000,G-3c369d65-168a65ae227-LP-5Z-c8c76,1,Active,MQ
LP-5,STRM-5,EURUSD,02.01.2019 00:00:00.577,1.144740000000000090807361630140803754329681396484375,1000000,1.144810000000000105302433439646847546100616455078125,1000000,G-3c369d65-168a65ae241-LP-5Z-c8c77,1,Active,MQ
LP-5,STRM-5,EURUSD,02.01.2019 00:00:00.598,1.144740000000000090807361630140803754329681396484375,1000000,1.1448199999999999487698687516967765986919403076171875,1000000,G-3c369d65-168a65ae256-LP-5Z-c8c78,1,Active,MQ
