provider,stream,currency pair,time,bid price,bid volume,ask price,ask volume,guid,tier,status,quote type
LP-2,STRM-2,GBPUSD,02.01.2019 00:00:00.006,1.3106299999999999617017465425305999815464019775390625,1000000,1.310890000000000110702558231423608958721160888671875,1000000,G-3c369d2f-168a65ae006-LP-2U-16e299,1,Active,MQ
LP-2,STRM-2,GBPUSD,02.01.2019 00:00:00.107,1.3106199999999998961897063054493628442287445068359375,2000000,1.31088000000000004519051799434237182140350341796875,1000000,G-3c369d2f-168a65ae06b-LP-2U-16e29a,1,Active,MQ
LP-2,STRM-2,GBPUSD,02.01.2019 00:00:00.136,1.3106199999999998961897063054493628442287445068359375,1000000,1.31088000000000004519051799434237182140350341796875,1000000,G-3c369d2f-168a65ae088-LP-2U-16e29b,1,Active,MQ
LP-2,STRM-2,GBPUSD,02.01.2019 00:00:00.165,1.310610000000000052722270993399433791637420654296875,2000000,1.31088000000000004519051799434237182140350341796875,1000000,G-3c369d2f-168a65ae0a5-LP-2U-16e29c,1,Active,MQ
LP-2,STRM-2,GBPUSD,02.01.2019 00:00:00.219,1.31059999999999998721023075631819665431976318359375,2000000,1.310869999999999979678477757261134684085845947265625,1000000,G-3c369d2f-168a65ae0db-LP-2U-16e29d,1,Active,MQ
LP-2,STRM-2,GBPUSD,02.01.2019 00:00:00.303,1.31059999999999998721023075631819665431976318359375,1000000,1.310869999999999979678477757261134684085845947265625,1000000,G-3c369d2f-168a65ae12f-LP-2U-16e29e,1,Active,MQ
LP-2,STRM-2,GBPUSD,02.01.2019 00:00:00.304,1.31059999999999998721023075631819665431976318359375,1000000,1.3108599999999999141664375201798975467681884765625,1000000,G-3c369d2f-168a65ae130-LP-2U-16e29f,1,Active,MQ
LP-2,STRM-2,GBPUSD,02.01.2019 00:00:00.355,1.310589999999999921698190519236959517002105712890625,2000000,1.3108599999999999141664375201798975467681884765625,1000000,G-3c369d2f-168a65ae163-LP-2U-16e2a0,1,Active,MQ
LP-2,STRM-2,GBPUSD,02.01.2019 00:00:00.459,1.310589999999999921698190519236959517002105712890625,1000000,1.3108500000000000706990022081299684941768646240234375,1000000,G-3c369d2f-168a65ae1cb-LP-2U-16e2a1,1,Active,MQ
LP-2,STRM-2,GBPUSD,02.01.2019 00:00:00.460,1.3105700000000000127187149701057933270931243896484375,1000000,1.3108400000000000051869619710487313568592071533203125,1000000,G-3c369d2f-168a65ae1cc-LP-2U-16e2a2,1,Active,MQ
LP-2,STRM-2,GBPUSD,02.01.2019 00:00:00.460,1.3105599999999999472066747330245561897754669189453125,1000000,1.3108299999999999396749217339674942195415496826171875,1000000,G-3c369d2f-168a65ae1cc-LP-2U-16e2a3,1,Active,MQ
LP-2,STRM-2,GBPUSD,02.01.2019 00:00:00.468,1.3105599999999999472066747330245561897754669189453125,2000000,1.3108299999999999396749217339674942195415496826171875,1000000,G-3c369d2f-168a65ae1d4-LP-2U-16e2a4,1,Active,MQ
LP-2,STRM-2,GBPUSD,02.01.2019 00:00:00.477,1.3105700000000000127187149701057933270931243896484375,1000000,1.3108400000000000051869619710487313568592071533203125,1000000,G-3c369d2f-168a65ae1dd-LP-2U-16e2a5,1,Active,MQ
LP-2,STRM-2,GBPUSD,02.01.2019 00:00:00.478,1.3105800000000000782307552071870304644107818603515625,1000000,1.3108500000000000706990022081299684941768646240234375,1000000,G-3c369d2f-168a65ae1de-LP-2U-16e2a6,1,Active,MQ
LP-2,STRM-2,GBPUSD,02.01.2019 00:00:00.479,1.3105800000000000782307552071870304644107818603515625,2000000,1.3108500000000000706990022081299684941768646240234375,1000000,G-3c369d2f-168a65ae1df-LP-2U-16e2a7,1,Active,MQ
LP-2,STRM-2,GBPUSD,02.01.2019 00:00:00.480,1.31059999999999998721023075631819665431976318359375,1000000,1.3108599999999999141664375201798975467681884765625,1000000,G-3c369d2f-168a65ae1e0-LP-2U-16e2a8,1,Active,MQ
LP-2,STRM-2,GBPUSD,02.01.2019 00:00:00.526,1.31059999999999998721023075631819665431976318359375,2000000,1.310869999999999979678477757261134684085845947265625,1000000,G-3c369d2f-168a65ae20e-LP-2U-16e2a9,1,Active,MQ
