provider,stream,currency pair,time,bid price,bid volume,ask price,ask volume,guid,tier,status,quote type
LP-1,STRM-1,NZDUSD,02.01.2019 00:00:00.387,0.6913000000000000255795384873636066913604736328125,1000000,0.69142000000000003456790409472887404263019561767578125,1000000,G-605762d-168a65ae183-LP-1C-57845,1,Active,MT
LP-1,STRM-1,NZDUSD,02.01.2019 00:00:00.387,0.6913000000000000255795384873636066913604736328125,1000000,0.69142000000000003456790409472887404263019561767578125,1000000,G-605762d-168a65ae183-LP-1C-57846,1,Active,MT
LP-1,STRM-1,NZDUSD,02.01.2019 00:00:00.387,0.6913000000000000255795384873636066913604736328125,1000000,0.69142000000000003456790409472887404263019561767578125,1000000,G-605762d-168a65ae183-LP-1C-57847,1,Active,MT
LP-1,STRM-1,NZDUSD,02.01.2019 00:00:00.442,0.691289999999999960067498250282369554042816162109375,1000000,0.69140999999999996905586385764763690531253814697265625,1000000,G-605762d-168a65ae1ba-LP-1C-57848,1,Active,MT
LP-1,STRM-1,NZDUSD,02.01.2019 00:00:00.442,0.691289999999999960067498250282369554042816162109375,1000000,0.69140999999999996905586385764763690531253814697265625,1000000,G-605762d-168a65ae1ba-LP-1C-57849,1,Active,MT
LP-1,STRM-1,NZDUSD,02.01.2019 00:00:00.442,0.691289999999999960067498250282369554042816162109375,1000000,0.69140999999999996905586385764763690531253814697265625,1000000,G-605762d-168a65ae1ba-LP-1C-5784a,1,Active,MT
LP-1,STRM-1,NZDUSD,02.01.2019 00:00:00.952,0.69128000000000000557776047571678645908832550048828125,1000000,0.6913899999999999490540858460008166730403900146484375,1000000,G-605762d-168a65ae3b8-LP-1C-5784b,1,Active,MT
LP-1,STRM-1,NZDUSD,02.01.2019 00:00:00.952,0.69128000000000000557776047571678645908832550048828125,1000000,0.6913899999999999490540858460008166730403900146484375,1000000,G-605762d-168a65ae3b8-LP-1C-5784c,1,Active,MT
LP-1,STRM-1,NZDUSD,02.01.2019 00:00:00.952,0.69128000000000000557776047571678645908832550048828125,1000000,0.6913899999999999490540858460008166730403900146484375,1000000,G-605762d-168a65ae3b8-LP-1C-5784d,1,Active,MT
LP-1,STRM-1,NZDUSD,02.01.2019 00:00:01.190,0.69128000000000000557776047571678645908832550048828125,1000000,0.6913899999999999490540858460008166730403900146484375,1000000,G-605762d-168a65ae4a6-LP-1C-5784e,1,Active,MT
LP-1,STRM-1,NZDUSD,02.01.2019 00:00:01.190,0.6913000000000000255795384873636066913604736328125,1000000,0.69140999999999996905586385764763690531253814697265625,1000000,G-605762d-168a65ae4a6-LP-1C-5784f,1,Active,MT
LP-1,STRM-1,NZDUSD,02.01.2019 00:00:01.190,0.6913000000000000255795384873636066913604736328125,1000000,0.69140999999999996905586385764763690531253814697265625,1000000,G-605762d-168a65ae4a6-LP-1C-57850,1,Active,MT
LP-1,STRM-1,NZDUSD,02.01.2019 00:00:01.911,0.6913000000000000255795384873636066913604736328125,1000000,0.69140999999999996905586385764763690531253814697265625,1000000,G-605762d-168a65ae777-LP-1C-57851,1,Active,MT
LP-1,STRM-1,NZDUSD,02.01.2019 00:00:01.911,0.69128000000000000557776047571678645908832550048828125,1000000,0.6914000000000000145661260830820538103580474853515625,1000000,G-605762d-168a65ae777-LP-1C-57852,1,Active,MT
LP-1,STRM-1,NZDUSD,02.01.2019 00:00:01.911,0.69128000000000000557776047571678645908832550048828125,1000000,0.6914000000000000145661260830820538103580474853515625,1000000,G-605762d-168a65ae777-LP-1C-57853,1,Active,MT
